patent,abstract,title
08346567,,"Efficient and secure forensic marking in compressed domain",
08346568,,"Method and system for predictive bill estimation based on financial data from similar users",
08346569,,"System and method for creating a dynamic customized employment profile and subsequent use thereof",
08346570,,"Method for improving the consistency of processing pharmacy data",
08346571,,"Method for competitive prescription drug and/or bidding service provider selection",
08346572,,"Providing clinical information to clinicians",
08346573,,"Quantification of responses received during medical triage",
08346574,,"Systems and methods for tracking and providing workflow information",
08346575,,"System and methods of automated patient check-in, scheduling and prepayment",
08346576,,"Apparatus, method, program and computer-readable recording medium for providing guaranteed minimum accumulated benefit contract funded with matching bond investments",
08346577,,"Automation of auditing claims",
08346578,,"Systems and methods for using unmanned aerial vehicles",
08346579,,"Systems and methods for supporting extended pay date options on an insurance policy",
08346580,,"System and method for managing transfer of ownership rights to access to a venue and allowing access to the venue to patron with the ownership right",
08346581,,"Project timeline visualization methods and systems",
08346582,,"System for facilitating a project between contractors and owners",
08346583,,"Economic opportunity pursuit management and presentation generation",
08346584,,"Method and apparatus for determining design modification effects on a computerized engineering model",
08346585,,"Data mining for targeted republishing",
08346586,,"Systems and methods for estimating employment levels",
08346587,,"Models and methods for reducing visual complexity and search effort via ideal information abstraction, hiding, and sequencing",
08346588,,"Dynamic resource availability process",
08346589,,"Just-in-time conference room scheduling",
08346590,,"Automatically schedule and re-schedule meetings through search interface",
08346591,,"Automating responses by grid providers to bid requests indicating criteria for a grid job",
08346592,,"Method and system for determining a threat against a border",
08346593,,"System, method, and software for prediction of attitudinal and message responsiveness",
08346594,,"Comprehensive information market exchange",
08346595,,"Carbon management for sourcing and logistics",
08346596,,"Method for managing production system operations",
08346597,,"Customer-level macro business performance monitoring",
08346598,,"Apparatus for the personalization and registration of vehicle devices",
08346599,,"Wireless subscriber loyalty system and method",
08346600,,"Method and system for redeeming product marketing rebates",
08346601,,"System and method for managing promotional savings using a communications platform",
08346602,,"Method of providing and tracking embedded e-mail advertising",
08346603,,"Ecological-point management system",
08346604,,"Facilitating bidding on images",
08346605,,"Management of shared media content",
08346606,,"Data collection and dissemination system with terminal having literature distribution",
08346607,,"Automatic adjustment of advertiser bids to equalize cost-per-conversion among publishers for an advertisement",
08346608,,"Method of compensating for enhancing emails with targeted ads",
08346609,,"Method and software for displaying advertisements on a web page",
08346610,,"Automated document processing system using full image scanning",
08346611,,"Systems and methods for pre-paid futures procurement",
08346612,,"Business models for immersive environments",
08346613,,"Zero integration model for e-commerce merchants",
08346614,,"Promoting a web technology through a virtual service marketplace",
08346615,,"Financial gadgets",
08346616,,"System and method for fuel price-protection",
08346617,,"Merchandising of content in a prepaid environment",
08346618,,"Programmable ticketing system",
08346619,,"System for mediating transaction information and device in the system",
08346620,,"Automatic modification of web pages",
08346621,,"Method for providing absorbent paper products and packaging therefor having coordinated consumer-specified features",
08346622,,"Connection system",
08346623,,"System and method for navigating a collection of editorial content",
08346624,,"Systems and methods for recommending third party products and services",
08346625,,"Providing automated gift registry functionality to assist a user in purchasing an item for a recipient",
08346626,,"System and method for providing electronic multi-merchant gift registry services over a distributed network",
08346627,,"Method, system and program product for approving item requests",
08346628,,"Searcher call back request system and method",
08346629,,"Website, user interfaces, and applications facilitating improved media search capability",
08346630,,"Method and apparatus to efficiently verify inventory",
08346631,,"Systems and methods for tracking lumber in a sawmill",
08346632,,"Recall system and method for RFID medical item tracking system",
08346633,,"System and method for low level code calculation",
08346634,,"Method and apparatus for management of electronic receipts on portable devices",
08346635,,"Methods systems and computer program products for identifying suspect data of an electronic tax return",
08346636,,"Processing system for acquiring and reporting compliance with data security requirements",
08346637,,"System and method for providing recovery for victims of check fraud",
08346638,,"Systems and methods for processing transaction data to perform a merchant chargeback",
08346639,,"Authentication of a data card using a transit verification value",
08346640,,"Multi-account cash recycling",
08346641,,"Method and system of aggregating consideration associated with a request",
08346642,,"Trading orders with decaying reserves",
08346643,,"Point of service third party financial management vehicle for the healthcare industry",
08346644,,"Method and system for reconciling equity hedge funds",
08346645,,"Integrated investment management system with network datafeed and incremental database refresh",
08346646,,"Financial market replicator and simulator",
08346647,,"Systems and methods relating to bond liquidity",
08346648,,"System and method for life insurance investment vehicle",
08346649,,"Methods and computer software applications for selecting securities for an investment portfolio",
08346650,,"Computer system for processing data related to risks associated with financial instruments",
08346651,,"Method and system for conducting computer-assisted transactions",
08346652,,"Hybrid trading system for concurrently trading securities or derivatives through both electronic and open-outcry trading mechanisms",
08346653,,"Automated trading system for routing and matching orders",
08346654,,"Indexed payment stream system and method",
08346655,,"System and method for providing a platform for the trade of financial instruments",
08346656,,"System and method for displaying market information and order placement in an electronic trading environment",
08346657,,"Systems and methods for implementing a reverse mortgage",
08346658,,"Line of credit with pre-agreed line increases",
08346659,,"Secure authentication and payment system",
08346660,,"System and method for two-way transfer of funds and electronic content between summa account users with gathering of behavioral metrics and management of multiple currencies and escrow accounts",
08346661,,"Aggregation of customer transaction data",
08346662,,"Desktop alert with interactive bona fide dispute initiation through chat session facilitated by desktop application",
08346663,,"Method and system of contactless interfacing for smart card banking",
08346664,,"Method and system for modifying financial transaction categorization lists based on input from multiple users",
08346665,,"Dual-activation financial products",
08346666,,"Token based transaction authentication",
08346667,,"Distributed secure anonymous conferencing",
08346668,,"Electronic money system and electronic money transaction method",
08346669,,"Method of requesting a customized instance of an object using information contained within an existing instance",
08346670,,"System for controlling user access to a service",
08346671,,"System and method for point-to-point encryption with adjunct terminal",
08346672,,"System and method for secure transaction process via mobile device",
08346673,,"System and method for provisioning audiovisual works",
08346674,,"Intelligent physical mail handling system",
08346675,,"Adaptive information and measurement system",
08346676,,"Reporting shipping rates and delivery schedules for multiple services and multiple carriers",
08346677,,"Method and system for conducting commerce over a wireless communication network",
08346678,,"Method and system for conducting commerce over a wireless communication network",
08346679,,"Modular geothermal measurement system",
08346680,,"Method and system for dynamic adaptation of user experience in an application",
08346681,,"System and method for decision support",
08346682,,"Information assisted visual interface, system, and method for identifying and quantifying multivariate associations",
08346683,,"System, program, and method for representation, utilization, and maintenance of regulatory knowledge",
08346684,,"Pattern classification method",
08346685,,"Computerized system for enhancing expert-based processes and methods useful in conjunction therewith",
08346686,,"Taxonomy-driven lumping for sequence mining",
08346687,,"SV reduction method for multi-class SVM",
08346688,,"Predicting states of subjects",
08346689,,"Recommendation system using rough-set and multiple features mining integrally and method thereof",
08346690,,"Method of generating an integrated fuzzy-based guidance law using Tabu search",
08346691,,"Computer-implemented semi-supervised learning systems and methods",
08346692,,"Spatio-temporal pattern recognition using a spiking neural network and processing thereof on a portable and/or distributed computer",
08346693,,"Method for hammerstein modeling of steam generator plant",
08346694,,"Method and system for dynamic probabilistic risk assessment",
08346695,,"System and method for multiple volume segmentation",
08346696,,"Computationally efficient signal classifier",
08346697,,"Direct construction of finite state machines",
08346698,,"System and method for optimizing development, implementation and management of orders",
08346699,,"System and method for simulating conciousness",
08346700,,"Vehicle health monitoring reasoner architecture for diagnostics and prognostics",
08346701,,"Answer ranking in community question-answering sites",
08346702,,"System and method for automatically predicting the outcome of expert forecasts",
08346703,,"Systems and methods for analyzing communication options",
08346704,,"Controlled constraint sharing in parallel problem solvers",
08346706,,"Method and device for identifying traffic-relevant information",
08346707,,"Rule reasoner, and dynamic materialization method for wild pattern rules including the same",
08346708,,"Social network analysis with prior knowledge and non-negative tensor factorization",
08346709,,"Determining conversion probability using session metrics",
08346710,,"Evaluating statistical significance of test statistics using placebo actions",
08346711,,"Method for identifying multi-input multi-output Hammerstein models",
08346712,,"Method for identifying hammerstein models",
08346713,,"Method and system for recognizing power consumption behaviors of electric appliances in a loop",
08346714,,"Transactiontime and validtime timestamping in an enterprise active data warehouse",
08346715,,"Methods, systems, and computer program products for implementing intelligent agent services",
08346716,,"Document management system",
08346717,,"Managing file systems",
08346718,,"Synchronizing recurring events",
08346719,,"Multi-node replication systems, devices and methods",
08346720,,"Information update system, information update method, and computer-readable medium",
08346721,,"Apparatus and method to replicate remote virtual volumes to local physical volumes",
08346722,,"Replica placement strategy for distributed data persistence",
08346723,,"Consolidation of patch transformations for database replication",
08346724,,"Generating and supplying user context data",
08346725,,"Evolution of XML schemas involving partial data copy",
08346726,,"System and method for virtualizing backup images",
08346727,,"Optimized image archiving",
08346728,,"Snapshot indexing",
08346729,,"Business-semantic-aware information lifecycle management",
08346730,,"Deduplication of data on disk devices based on a threshold number of sequential blocks",
08346731,,"Techniques for global single instance indexing for backup data",
08346732,,"Method and apparatus for providing high availability of a database",
08346733,,"Systems and methods of media management, such as management of media to and from a media storage library",
08346734,,"Systems and methods of media management, such as management of media to and from a media storage library",
08346735,,"Controlling multi-step storage management operations",
08346736,,"Apparatus and method to deduplicate data",
08346737,,"Encoding of hierarchically organized data for efficient storage and processing",
08346738,,"Verification of data categorization",
08346739,,"Segmenting documents among multiple data repositories",
08346740,,"File cache management system",
08346741,,"Media mediator system and method for managing contents of various formats",
08346742,,"Remote verification of file protections for cloud data storage",
08346743,,"Configuring data collection rules in a data monitoring system",
08346744,,"Database management method, database management system, and processing program therefor",
08346745,,"Information retrieval method, computer readable medium and information retrieval apparatus",
08346746,,"Aggregation, organization and provision of professional and social information",
08346747,,"Extending database tables in a multi-tenant environment",
08346748,,"Environment classification and service analysis",
08346749,,"Balancing the costs of sharing private data with the utility of enhanced personalization of online services",
08346750,,"System and method for adding identity to web rank",
08346751,,"Hierarchial category index navigational system",
08346752,,"Software title discovery",
08346753,,"System and method for searching for internet-accessible content",
08346754,,"Generating succinct titles for web URLs",
08346755,,"Iterative off-line rendering process",
08346756,,"Calculating valence of expressions within documents for searching a document index",
08346757,,"Determining query terms of little significance",
08346758,,"Method and system for transmitting a query in a wireless network",
08346759,,"Searching documents for ranges of numeric values",
08346760,,"Method and apparatus to improve execution of a stored program",
08346761,,"Method and system for data mining for automatic query optimization",
08346762,,"Creation, management and delivery of map-based media items",
08346763,,"Ranking method using hyperlinks in blogs",
08346764,,"Information retrieval systems, methods, and software with content-relevancy enhancements",
08346765,,"Generating ranked search results using linear and nonlinear ranking models",
08346766,,"Efficient calculation of node proximity on graphs with side information",
08346767,,"Image search result summarization with informative priors",
08346768,,"Fast merge support for legacy documents",
08346769,,"System, method and program to manage alternate bookmarks",
08346770,,"Systems and methods for clustering search results",
08346771,,"Image management apparatus, and control method and a computer-readable storage medium storing a program therefor",
08346772,,"Systems and methods for interactive clustering",
08346773,,"Product classification system",
08346774,,"Protecting network entity data while preserving network properties",
08346775,,"Managing information",
08346776,,"Generating a taxonomy for documents from tag data",
08346777,,"Systems and methods for selectively storing event data",
08346778,,"Organizing portions of a cascading index on disk",
08346779,,"Method and system for extended bitmap indexing",
08346780,,"Integrated search server and integrated search method",
08346781,,"Dynamic content distribution system and methods",
08346782,,"Method and system of information matching in electronic commerce website",
08346783,,"Method and system for merchandise hierarchy refinement by incorporation of product correlation",
08346784,,"Java script reductor",
08346785,,"Performing abstraction and/or integration of information",
08346786,,"Information processing system, information processing apparatus, information processing method and computer readable medium",
08346787,,"Method and apparatus for continuous data protection",
08346788,,"Techniques for mapping data models using an intermediate processing layer",
08346789,,"System and method for generating homogeneous metadata from pre-existing metadata",
08346790,,"Data integration method and system",
08346791,,"Search augmentation",
08346792,,"Query generation using structural similarity between documents",
08346793,,"Techniques for suggesting correct identifiers",
08346794,,"Method and apparatus for querying target databases using reference database records by applying a set of reference-based mapping rules for matching input data queries from one of the plurality of sources",
08346795,,"System and method for guiding entity-based searching",
08346796,,"System for searching property listings based on location",
08346797,,"Search device and information providing system",
08346798,,"Method for sharing and searching playlists",
08346799,,"Recent content rank adjustment with inverted decay",
08346800,,"Content-based information retrieval",
08346801,,"Context based video finder",
08346802,,"Deriving a hierarchical event based database optimized for pharmaceutical analysis",
08346803,,"Dynamic generation of target files from template files and tracking of the processing of target files",
08346804,,"Systems, methods, and apparatus for computer-assisted full medical code scheme to code scheme mapping",
08346805,,"Filter driver for identifying disk files by analysis of content",
08346806,,"Image processing apparatus and control method",
08346807,,"Method and system for registering and activating content",
08346808,,"System and method of accessing resources in a computer network",
08346809,,"Querying markup language data sources using a relational query processor",
08346810,,"Reference count propagation",
08346811,,"System and method for analyzing and reporting extensible data from multiple sources in multiple formats",
08346812,,"Indexing in a resource description framework environment",
08346813,,"Using node identifiers in materialized XML views and indexes to directly navigate to and within XML fragments",
08346814,,"Method and system of splitting and merging information spaces",
08346815,,"Dynamic image display area and image display within web search results",
08346816,,"Method and apparatus for physical/logical relationship mapping between resources",
08346817,,"Systems and methods for embedding interpolated data object in application data file",
08346818,,"Mobile wireless device for use in a system for development, management and operation of distributed clients",
08346819,,"Enhanced data conversion framework",
08346820,,"Asynchronous distributed garbage collection for replicated storage clusters",
08346821,,"Orphan object tracking for objects having acquire-release semantics",
08346822,,"Memory management",
08346823,,"Method of storing and organizing files on a storage medium via a file system",
08346824,,"Data distribution system",
08346825,,"Stored data reverification management system and method",
08346826,,"Switch device, system, backup method and computer program",
08346827,,"Multimedia data delivery method and system",
08346828,,"System and method for storing numbers in first and second formats in a register file",
08346829,,"Methods and apparatus for reducing or avoiding use of non-shift based divisions in a communications device",
08346830,,"Digital signal processing apparatus",
08346831,,"Systems and methods for computing mathematical functions",
08346832,,"Random number generator",
08346833,,"Filter and method for filtering",
08346834,,"Information processing device and information processing method",
08346835,,"Filter structure and method for filtering an input signal",
08346836,,"Apparatus and method for area and speed efficient fast fourier transform (FFT) processoring with runtime and static programmability of number of points",
08346837,,"Coordinate transformation for presentation in display systems",
08346838,,"Method and apparatus for efficient integer transform",
08346839,,"Efficient advanced encryption standard (AES) datapath using hybrid rijndael S-box",
08346840,,"Flexible accumulator for rational division",
08346841,,"Cross-correlation of signals using event-based sampling",
08346842,,"Reformatting dynamically rerouted production requests",
08346843,,"System and method for scalable data distribution",
08346844,,"Communication apparatus, communication system, communication method, and program",
08346845,,"Distributed solutions for large-scale resource assignment tasks",
08346846,,"Transmission of aggregated mote-associated log data",
08346847,,"Installing applications based on a seed application from a separate device",
08346848,,"System and method for maintaining statefulness during client-server interactions",
08346849,,"Security and support for flexible conferencing topologies spanning proxies, firewalls and gateways",
08346850,,"Method and apparatus for establishing a session",
08346851,,"System and method for determining when to generate subordinate coordinators on local machines",
08346852,,"Apparatus and method for updating displayed web page",
08346853,,"Methods, systems, and computer program products for processing an attached command response",
08346854,,"Method and system of operating system independence",
08346855,,"Methods and systems for transferring client device data over a network",
08346856,,"Client environment creation system, client environment creation method, client environment creation program and storage medium",
08346857,,"Systems and methods for providing resource allocation in a networked environment",
08346858,,"System and method for providing an optimal motivational response",
08346859,,"Method, system, and graphical user interface for dynamically updating transmission characteristics in a web mail reply",
08346860,,"Multi-phased and partitioned content preparation and delivery",
08346861,,"Web server with animation player",
08346862,,"Mobile communication terminal and method",
08346863,,"Contact initialization based upon automatic profile sharing between computing devices",
08346864,,"Systems and methods for social network based conferencing",
08346865,,"On online networking system and method for depicting views associated with an entity",
08346866,,"Formation of special interest groups",
08346867,,"Dynamic playlist for mobile computing device",
08346868,,"Real-time web sharing system",
08346869,,"Granular data synchronization for editing multiple data objects",
08346870,,"Low-privilege debug channel",
08346871,,"Maintaining message privacy on an exposed display device",
08346872,,"Context parameters and identifiers for communication",
08346873,,"Context-based identification of entity with which communication occurs",
08346874,,"Mail object migration",
08346875,,"Intelligence of the crowd electronic mail management system",
08346876,,"Method and system for message delivery",
08346877,,"System and method for enhancing digital content",
08346878,,"Flagging resource pointers depending on user environment",
08346879,,"Detecting conflicts in email messages",
08346880,,"Electronic Message source reputation information system",
08346881,,"Prioritization of incoming communications",
08346882,,"Method for structuring a self-organized content distribution overlay network for a peer-to-peer network",
08346883,,"Effecting hardware acceleration of broadcast operations in a parallel computer",
08346884,,"Method and apparatus for a shared I/O network interface controller",
08346885,,"Systems and methods thereto for acceleration of web pages access using next page optimization, caching and pre-fetching techniques",
08346886,,"System, method, and medium for configuring client computers to operate disconnected from a server computer while using a master instance of the operating system",
08346887,,"Tracking and tracing user activity with application media packages",
08346888,,"Contents data output apparatus, contents data delivery system, contents data output method, and contents data output program",
08346889,,"Event-driven module loading",
08346890,,"Multi-homed web server with compiled animation server",
08346891,,"Managing entities in virtual computing environments",
08346892,,"Communication network system of bus network structure and method using the communication network system",
08346893,,"Mobile wireless communications device to display a remaining content portion of a web article and associated methods",
08346894,,"Real-time web transactions from web applications",
08346895,,"User productivity on-demand services",
08346896,,"User pivot navigation of shared social media",
08346897,,"System and method for deploying and maintaining software applications",
08346898,,"Automated relationship classification",
08346899,,"Method and system for NIC-centric hyper-channel distributed network management",
08346900,,"Network service for modularly constructing a software defined radio",
08346901,,"Selection of an appropriate online content source based on program information",
08346902,,"Performing device configuration rediscovery",
08346903,,"Print server, mobile computing device, system and method for printing using a mobile computing device",
08346904,,"Reliable multicast communication",
08346905,,"Systems and methods for improved multisite management and reporting of converged communication systems and computer systems",
08346906,,"System and method for computer originated audio file transmission",
08346907,,"Method and system for constraining server usage in a distributed network",
08346908,,"Identity migration apparatus and method",
08346909,,"Method for supporting transaction and parallel application workloads across multiple domains based on service level agreements",
08346910,,"Method and apparatus for managing an interactive network session",
08346911,,"Computer system evaluation",
08346912,,"System and method of emulating a network controller within an information handling system",
08346913,,"Method and device for monitoring and upgrading software in device management",
08346914,,"Generating a training data set for a pattern-recognition model for electronic prognostication for a computer system",
08346915,,"System and method of recording and sharing mobile application activities",
08346916,,"Information processing apparatus, control method of information processing apparatus, and storage medium of storing computer program to perform control method",
08346917,,"Unified enterprise level method and system for enhancing application and storage performance",
08346918,,"Apparatus and method for biased and weighted sampling of network traffic to facilitate network monitoring",
08346919,,"Failover and migration for full-offload network interface devices",
08346920,,"Managing network resource requests",
08346921,,"Predictive governing of dynamic modification of program execution capacity",
08346922,,"Peer to peer monitoring framework for transaction tracking",
08346923,,"Methods for identifying an application and controlling its network utilization",
08346924,,"Preconfiguration of wireless network access for portable devices",
08346925,,"Apparatus for providing security over untrusted networks",
08346926,,"Granting access to a content unit stored on an object addressable storage system",
08346927,,"Method and system for service denial and termination on a wireless network",
08346928,,"Administering an epoch initiated for remote memory access",
08346929,,"System and method for generating secure Web service architectures  using a Web Services security assessment methodology",
08346930,,"Multimedia processing method and device for resource management using virtual resources",
08346931,,"Conditional computer runtime control of an information technology environment based on pairing constructs",
08346932,,"System for providing integrated voice and data services",
08346933,,"Virtual machine location system, virtual machine location method, program, virtual machine manager, and server",
08346934,,"Method for executing migration between virtual servers and server system used for the same",
08346935,,"Managing hardware resources by sending messages amongst servers in a data center",
08346936,,"Method for managing the allocation of resources to channel swarms in a peer-to-peer network",
08346937,,"Content management",
08346938,,"Efficient establishment of wireless connections",
08346939,,"Network system, network connecting device, and network connecting method",
08346940,,"Method and system for provisioning customer premises equipment",
08346941,,"Method for transmitting data from and to a control device",
08346942,,"Call centers for providing customer services in a telecommunications network",
08346943,,"Method and apparatus for controlling a multimedia gateway comprising an IMSI",
08346944,,"Methods, systems, and computer program products for providing internet protocol multimedia subsystem (IMS) registration services for non-IMS devices",
08346945,,"Dynamic SDP update in IPDC over DVB-H",
08346946,,"System and method for registration of network-capable consumer electronic devices",
08346947,,"Device initiated multiple grants per interval system and method",
08346948,,"Information processing apparatus, selector, remote operation system, scan code transmission method, and program product therefor",
08346949,,"Method and system for sending a message through a secure connection",
08346950,,"Hosted application server",
08346951,,"Method for first packet authentication",
08346952,,"De-centralization of group administration authority within a network storage architecture",
08346953,,"Methods and systems for restricting electronic content access based on guardian control decisions",
08346954,,"Networking architecture for efficient communication between different types of home networks",
08346955,,"Streaming content delivery management for a wireless communication device",
08346956,,"Dynamic image delivery system",
08346957,,"Method and apparatus for transmitting/receiving information in internet protocol network",
08346958,,"Rate control technique for a lightweight directory access protocol over MQSeries (LoM) server",
08346959,,"Client-controlled adaptive streaming",
08346960,,"Systems, methods, and devices for defending a network",
08346961,,"System and method for using routing protocol extensions for improving spoke to spoke communication in a computer network",
08346962,,"Session initiation protocol message routing method between IP networks using different IP address format",
08346963,,"Method for sending and receiving personal information by using mobile terminal",
08346964,,"Multi-processor communications system incorporating prioritized messaging",
08346965,,"Systems and methods for multi-layer traffic grooming",
08346966,,"Transparent file system access for wide area network file system acceleration",
08346967,,"Management of redirection",
08346968,,"Proactive DNS query system based on call flow analysis",
08346969,,"Scalable network apparatus for content based switching or validation acceleration",
08346970,,"Data relay device, data receiving device and communication system",
08346971,,"Data transfer, synchronising applications, and low latency networks",
08346972,,"Data synchronization transparent to application",
08346973,,"Crisscross cancellation protocol",
08346974,,"Hardware control interface for IEEE standard 802.11",
08346975,,"Serialized access to an I/O adapter through atomic operation",
08346976,,"Secured registration of a home network device",
08346977,,"Device address assignment in a bus cascade system",
08346978,,"Facilitating transport mode input/output operations between a channel subsystem and input/output devices",
08346979,,"Connectivity sled for electronic pairing and physical cooperation between a mobile device and associated peripheral devices",
08346980,,"Modular input/output bridge system for semiconductor processing equipment",
08346981,,"Connection of peripherals to operating systems",
08346982,,"Video detection cell for a set top box",
08346983,,"Simultaneous sharing of system resources by multiple input devices",
08346984,,"Apparatus and method for intelligent analysis of device compatibility and adaptive processing of multimedia data",
08346985,,"Receiver configured to pair to multiple wireless devices",
08346986,,"Display apparatus, control method thereof, and program",
08346987,,"Communication protocol for use with portable electronic devices",
08346988,,"Techniques for dynamically sharing a fabric to facilitate off-chip communication for multiple on-chip units",
08346989,,"Display apparatus and control method for adjusting the time required for detecting input signals",
08346990,,"Methods and systems for tracking data activity levels",
08346991,,"Multi-function peripheral device, corresponding method and electronic system having a peripheral and a host communicating via a single interface",
08346992,,"Peripheral interface alert message for downstream device",
08346993,,"Network devices with multiple direct memory access channels and methods thereof",
08346994,,"Methods and apparatus for providing user level DMA and memory access management",
08346995,,"Balancing usage of hardware devices among clients",
08346996,,"Information processing system",
08346997,,"Use of peripheral component interconnect input/output virtualization devices to create redundant configurations",
08346998,,"System and method for transmitting data packets in a computer system having a memory hub architecture",
08346999,,"Dynamic receive queue balancing with high and low thresholds",
08347000,,"System and method detecting cable plug status in display device",
08347001,,"Hardware support for software controlled fast multiplexing of performance counters",
08347002,,"Method and apparatus for transmitting a video signal with combined color signal",
08347003,,"Systems and methods for compression of data for block mode access storage",
08347004,,"Systems and methods for compression of data for block mode access storage",
08347005,,"Memory controller with multi-protocol interface",
08347006,,"Minimizing interconnections in a multi-shelf switching system",
08347007,,"Field device and fieldbus controller",
08347008,,"Method and system for hardware based implementation of USB 1.1 over a high speed link",
08347009,,"Communication system having a plurality of communication nodes",
08347010,,"Scalable data storage architecture and methods of eliminating I/O traffic bottlenecks",
08347011,,"Stream priority",
08347012,,"Interrupt morphing and configuration, circuits, systems, and processes",
08347013,,"Interface card with extensible input/output interface",
08347014,,"Class-based compatibility testing and notification",
08347015,,"Power-optimized frame synchronization for multiple USB controllers with non-uniform frame rates",
08347017,,"Integrated circuits for accessing USB device via USB 3.0 receptacle",
08347018,,"Techniques for broadcasting messages on a point-to-point interconnect",
08347019,,"Structure for hardware assisted bus state transition circuit using content addressable memories",
08347020,,"Memory access controller, systems, and methods for optimizing memory access times",
08347021,,"Storing application messages",
08347022,,"Flash ROM programming",
08347023,,"Compression based wear leveling for non-volatile memory",
08347024,,"Memory system monitoring data erasing time or writing time",
08347025,,"Memory controller interface",
08347026,,"Memory device and memory device control method",
08347027,,"Reducing power consumption for dynamic memories using distributed refresh control",
08347028,,"Performance separation optimization according to protocol usage status and storage system performance",
08347029,,"Systems and methods for fast state modification of at least a portion of non-volatile memory",
08347030,,"Digital component power savings in a host device and method",
08347031,,"Storage system and control method for managing the input and output of data in a network to avoid congestion",
08347032,,"Image forming apparatus and access request arbitration method for a RAID driver",
08347033,,"Storage system having power saving function",
08347034,,"Transparent level 2 cache that uses independent tag and valid random access memory arrays for cache access",
08347035,,"Posting weakly ordered transactions",
08347036,,"Empirically based dynamic control of transmission of victim cache lateral castouts",
08347037,,"Victim cache replacement",
08347038,,"Optimizing memory copy routine selection for message passing in a multicore architecture",
08347039,,"Programmable stream prefetch with resource optimization",
08347040,,"Latency reduction for cache coherent bus-based cache",
08347041,,"System and method to preserve and recover unwritten data present in data cache of a disk subsystem across power outages",
08347042,,"Multi-plane type flash memory and methods of controlling program and read operations thereof",
08347043,,"Storage management task distribution method and system on storage virtualizer",
08347044,,"Multi-processor based programmable logic controller and method for operating the same",
08347045,,"Using a dual mode reader writer lock",
08347046,,"Policy framework to treat data",
08347047,,"Memory system and device with serialized data transfer",
08347048,,"Self learning backup and recovery management system",
08347049,,"Storage system and storage subsystem",
08347050,,"Append-based shared persistent storage",
08347051,,"Storage apparatus, backup apparatus, and backup method",
08347052,,"Initializing of a memory area",
08347053,,"Storage system and remote copy control method for storage system",
08347054,,"Method and computer program product for memory management in a mass storage device",
08347055,,"Method to defrag a memory of an IC card",
08347056,,"Storage apparatus and data writing method",
08347057,,"Memory module",
08347058,,"Storage configurator for determining an optimal storage configuration for an application",
08347059,,"Management of recycling bin for thinly-provisioned logical volumes",
08347060,,"Storage system, storage extent release method and storage apparatus",
08347061,,"Method for protecting user-managed memory using an exception",
08347062,,"Interleaver memory allocation method and apparatus",
08347063,,"Method and system for device address translation for virtualization",
08347064,,"Memory access techniques in an aperture mapped memory space",
08347065,,"System and method for concurrently managing memory access requests",
08347066,,"Replay instruction morphing",
08347067,,"Instruction pre-decoding of multiple instruction sets",
08347068,,"Multi-mode register rename mechanism that augments logical registers by switching a physical register from the register rename buffer when switching between in-order and out-of-order instruction processing in a simultaneous multi-threaded microprocessor",
08347069,,"Information processing device, information processing method and computer readable medium for determining a processing sequence of processing elements",
08347070,,"System and methods for sharing platform data with an ACPI module of a computer system",
08347071,,"Converting virtual deployments to physical deployments to simplify management",
08347072,,"Method and apparatus for secure execution using a secure memory partition",
08347073,,"Inspection and rewriting of cryptographically protected data from group VPNs",
08347074,,"System and method for bend-in-the-wire adjacency management",
08347075,,"Methods to mitigate attacks against fiber-to-the-home network systems",
08347076,,"System and method for building home domain using smart card which contains information of home network member device",
08347077,,"Authenticating a registration request with a mobility key provided to an authenticator",
08347078,,"Device certificate individualization",
08347079,,"Method and apparatus for managing authentication information in home network",
08347080,,"System and method for multi-certificate and certificate authority strategy",
08347081,,"Method, apparatus and system for employing a content protection system",
08347082,,"Method of validation public key certificate and validation server",
08347083,,"Encrypted cross-origin communication via an intermediary",
08347084,,"Information transmission security method",
08347085,,"Integrating security protection tools with computer device integrity and privacy policy",
08347086,,"System and method for automatically detecting and then self-repairing corrupt, modified of non-existent files via a communication medium",
08347087,,"Support for multiple digital rights management systems for same content",
08347088,,"Security systems and methods for use with structured and unstructured data",
08347089,,"System and method of indicating the strength of encryption",
08347090,,"Encryption of identifiers in a communication system",
08347091,,"Authenticator apparatus",
08347092,,"Subsystem authenticity and integrity verification (SAIV)",
08347093,,"Privacy preserving name verification",
08347094,,"Securing wireless body sensor networks using physiological data",
08347095,,"System and method for preventing delivery of unsolicited and undesired electronic messages by key generation and comparison",
08347096,,"Authentication token with incremental key establishment capacity",
08347097,,"Object identifier protected from tampering",
08347098,,"Media storage structures for storing content, devices for using such structures, systems for distributing such structures",
08347099,,"Playback apparatus and playback method",
08347100,,"Methods for DNSSEC proxying and deployment amelioration and systems thereof",
08347101,,"System and method for anonymously indexing electronic record systems",
08347102,,"Image processing apparatus and method for transmitting encrypted data",
08347103,,"System and method for authenticating a user using a graphical password",
08347104,,"Security interface for a mobile device",
08347105,,"Method and system for obtaining a PIN validation signal in a data processing unit",
08347106,,"Method and apparatus for user authentication based on a user eye characteristic",
08347107,,"Information processing apparatus, software updating method, and image processing apparatus",
08347108,,"System and method for automated safe reprogramming of software radios",
08347109,,"Secure serial number generation",
08347110,,"Protecting a program interpreted by a virtual machine",
08347111,,"Data processing apparatus",
08347112,,"Encryption/decryption engine with secure modes for key decryption and key derivation",
